date,open,high,low,close,volume,daily_return,log_return,MA20,MA50,MA200,volatility
2018-01-23,2747.500244140625,2794.523475702934,2707.1946170872175,2794.523475702934,184176500,0.009708580796478516,0.009661755354391018,,,,
2018-01-24,2673.606689453125,2747.5003416741915,2666.8890847057555,2747.5003416741915,241779600,-0.01682688817524214,-0.016970068719441945,,,,
2018-01-25,2666.88916015625,2700.477184843356,2633.3011354691434,2673.606765093671,232552500,-0.026894837994994814,-0.02726312246678876,,,,
2018-01-26,2787.80615234375,2794.5237575301207,2680.3244693618226,2680.3244693618226,246067800,0.002512599966403961,0.002509448664645056,2821.73002091312,,,
2018-01-29,2734.065185546875,2807.958839210304,2707.194766032901,2801.2412343318106,156356300,0.04511273405595473,0.04412475907758427,2812.6612598758043,,,0.2572719709407069
2018-01-30,2666.88916015625,2713.912394718199,2660.1715552188284,2700.477184843356,140694300,-0.03597121456499264,-0.03663412440764592,2798.8901652444956,,,0.28333165800646004
2018-01-31,2680.324462890625,2727.3476990816885,2653.454042210017,2660.1716473801694,112276200,-0.014925339006529925,-0.015037842719654826,2784.7832001844263,,,0.2847513423082604
2018-02-01,2673.606689453125,2734.065132179452,2673.606689453125,2707.1947131899733,102291000,0.01767670362779561,0.01752228775574155,2778.0655883045383,,,0.2724575533424093
2018-02-02,2687.0419921875,2707.194807128906,2687.0419921875,2707.194807128906,71707200,3.469973264280668e-08,3.469973204077097e-08,2771.683871757508,,,0.2725933862099619
2018-02-05,2693.759521484375,2707.1947310678383,2633.3010783587906,2653.4538927339854,70792500,-0.019851144163472778,-0.02005082514145905,2761.6074612899492,,,0.2771779062558123
2018-02-06,2646.736572265625,2680.324599832448,2640.0189667522604,2653.4541777789896,146207400,1.074241406939791e-07,1.074241349240065e-07,2751.86693473433,,,0.27745096003711894
2018-02-07,2673.606689453125,2700.477108442604,2653.453875211016,2680.324294200495,120081100,0.010126467095805003,0.01007553796077262,2744.813443508533,,,0.28056670773242404
2018-02-08,2700.477294921875,2713.9125053443718,2646.7364532318875,2673.606874076881,101865000,-0.00250619678303432,-0.002509342551233899,2737.42406135244,,,0.28040380452587904
2018-02-09,2653.4541015625,2687.042128164557,2646.736496242089,2666.889312203323,78255000,-0.002512546604622856,-0.0025157083469700857,2731.042331442025,,,0.27922394472013046
